first_name,last_name,email,phone_number,hire_date,salary
Vilma,Niva,vilman@litwareinc.com,(209) 555-0103,2016-05-31,99999.00
Prem,Prabhu,premp@lucernepublishing.com,(423) 555-0102,2016-05-31,99999.00
Sunita,Jadhav,sunitaj@lucernepublishing.com,(423) 555-0101,2016-05-31,99999.00
Marcos,Costa,marcosc@nodpublishers.com,(252) 555-0106,2016-05-31,99999.00
Matheus,Oliveira,matheuso@nodpublishers.com,(252) 555-0107,2016-05-31,99999.00
Eliza,Soderberg,elizas@northwindelectriccars.com,(201) 555-0101,2016-05-31,99999.00
Sara,Karlsson,sarak@northwindelectriccars.com,(201) 555-0100,2016-05-31,99999.00
Donald,Jones,donaldj@treyresearch.net,(605) 555-0101,2016-05-31,99999.00
Sharon,Graham,sharong@treyresearch.net,(605) 555-0106,2016-05-31,99999.00
Hai,Dam,haid@thephone-company.com,(218) 555-0101,2016-05-31,99999.00
Thanh,Dinh,thanhd@thephone-company.com,(218) 555-0104,2016-05-31,99999.00
Hubert,Helms,huberth@woodgrovebank.com,(415) 555-0103,2016-05-31,99999.00
Donald,Small,donalds@woodgrovebank.com,(415) 555-0105,2016-05-31,99999.00
Waldemar,Fisar,waldemar@tailspintoys.com,(308) 555-0100,2016-05-31,99999.00
Laimonis,Berzins,laimonis@tailspintoys.com,(308) 555-0100,2013-01-01,99999.00
Lorena,Cindric,lorena@tailspintoys.com,(406) 555-0100,2013-01-01,99999.00
Hung,Van Groesen,hung@tailspintoys.com,(406) 555-0100,2013-01-01,99999.00
Bhaargav,Rambhatla,bhaargav@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Mudar,Jevtic,mudar@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Daniel,Roman,daniel@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Leyla,Radnia,leyla@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Johanna,Huiting,johanna@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Robert,Ruutli,robert@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Biswajeet,Thakur,biswajeet@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Radha,Shah,radha@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Kalidas,Nadar,kalidas@tailspintoys.com,(423) 555-0100,2013-01-01,99999.00
Filip,Nedvidek,filip@tailspintoys.com,(423) 555-0100,2013-01-01,99999.00
Kanti,Kotadia,kanti@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Hoa,Cu,hoa@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Sointu,Aalto,sointu@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Jae-Gon,Min,jae-gon@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Siddhartha,Parkar,siddhartha@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Paula,Matos,paula@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Elnaz,Javan,elnaz@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Jayashish,Ghatak,jayashish@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Heloisa,Fernandes,heloisa@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Amornrat,Rattanaporn,amornrat@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Razeena,Hosseini,razeena@tailspintoys.com,(217) 555-0100,2013-01-01,99999.00
Leticia,Ribeiro,leticia@tailspintoys.com,(217) 555-0100,2013-01-01,99999.00
Tereza,Valentova,tereza@tailspintoys.com,(240) 555-0100,2013-01-01,99999.00
Brijesh,Ganguly,brijesh@tailspintoys.com,(240) 555-0100,2013-01-01,99999.00
Filips,Jaunzems,filips@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Bharati,Bhowmick,bharati@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Nitin,Matondkar,nitin@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Joy,Dutta,joy@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Adam,Kubat,adam@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Gulzar,Naidu,gulzar@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Isabelle,Vodlan,isabelle@tailspintoys.com,(603) 555-0100,2013-01-01,99999.00
Prakash,Sarma,prakash@tailspintoys.com,(603) 555-0100,2013-01-01,99999.00
Mithun,Bhattacharya,mithun@tailspintoys.com,(907) 555-0100,2013-01-01,99999.00
Sandhya,Raju,sandhya@tailspintoys.com,(907) 555-0100,2013-01-01,99999.00
Nghi,Hua,nghi@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Ravindra,Parkar,ravindra@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Duleep,Raju,duleep@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Vlatka,Duvnjak,vlatka@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Cristina,Longo,cristina@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Antonio,Lucchese,antonio@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Hang,Tang,hang@tailspintoys.com,(907) 555-0100,2013-01-01,99999.00
Hong,Ang,hong@tailspintoys.com,(907) 555-0100,2013-01-01,99999.00
Intira,Mookjai,intira@tailspintoys.com,(252) 555-0100,2013-01-01,99999.00
Young-Tae,Kim,young-tae@tailspintoys.com,(252) 555-0100,2016-05-31,99999.00
Sulabha,Khalsa,sulabha@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Alessandro,Milano,alessandro@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Dhanishta,Majji,dhanishta@tailspintoys.com,(319) 555-0100,2013-01-01,99999.00
Nils,Podnieks,nils@tailspintoys.com,(319) 555-0100,2013-01-01,99999.00
Paula,Gonzales,paula@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Chetana,Dewangan,chetana@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Tatjana,Utjesenovic,tatjana@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Theresa,Boose,theresa@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Karel,Hanak,karel@tailspintoys.com,(205) 555-0100,2016-05-31,99999.00
Fernanda,Fierro,fernanda@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Odessa,Schneider,odessa@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Konrads,Sprogis,konrads@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Kimberly,Pace,kimberly@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Shobha,Gupta,shobha@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Nikolajs,Kalejs,nikolajs@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Philippe,Lamy,philippe@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Haasini,Rai,haasini@tailspintoys.com,(803) 555-0100,2013-01-01,99999.00
Viktorie,Melicharova,viktorie@tailspintoys.com,(803) 555-0100,2013-01-01,99999.00
Anjali,Asthana,anjali@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Hanuman,Negi,hanuman@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Shah,Omidi,shah@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Chandra,Mittal,chandra@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Ferhat,Celik,ferhat@tailspintoys.com,(270) 555-0100,2013-01-01,99999.00
Leyla,Celik,leyla@tailspintoys.com,(270) 555-0100,2013-01-01,99999.00
Dayarama,Kamei,dayarama@tailspintoys.com,(458) 555-0100,2013-01-01,99999.00
Elisabeth,Flamand,elisabeth@tailspintoys.com,(458) 555-0100,2013-01-01,99999.00
Nils,Kalnins,nils@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Rajiv,Kotadia,rajiv@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Ashish,Acharya,ashish@tailspintoys.com,(270) 555-0100,2016-05-31,99999.00
Filip,Sedlar,filip@tailspintoys.com,(270) 555-0100,2013-01-01,99999.00
Alena,Prikrylova,alena@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Catina,Bojin,catina@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Lana,Rozej,lana@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Kalpana,Mukherjee,kalpana@tailspintoys.com,(314) 555-0100,2016-05-31,99999.00
Chandrakanta,Raut,chandrakanta@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Ivan,Castellanos,ivan@tailspintoys.com,(212) 555-0100,2016-05-31,99999.00
Ganapati,Gadiyaram,ganapati@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Parsa,Blijleven,parsa@tailspintoys.com,(206) 555-0100,2016-05-31,99999.00
Adrijana,Blagojevic,adrijana@tailspintoys.com,(206) 555-0100,2016-05-31,99999.00
Lina,Martins,lina@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Lap,Dinh,lap@tailspintoys.com,(240) 555-0100,2013-01-01,99999.00
August,Astrom,august@tailspintoys.com,(240) 555-0100,2013-01-01,99999.00
Didem,ozCelik,didem@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Krista,Andrejev,krista@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Serhat,Akbulut,serhat@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Nadja,Johansson,nadja@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Daniela,Barrios,daniela@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Daina,Celma,daina@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Julia,Slobodova,julia@tailspintoys.com,(231) 555-0100,2013-01-01,99999.00
Raimonds,Kalnins,raimonds@tailspintoys.com,(231) 555-0100,2016-05-31,99999.00
Marcela,Jankova,marcela@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Predrag,Stojanovic,predrag@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Dipali,Sonkar,dipali@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Mariana,Apodaca,mariana@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Bansidhar,Mitra,bansidhar@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Liia,Mae,liia@tailspintoys.com,(209) 555-0100,2016-05-31,99999.00
Gunnar,Persson,gunnar@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Parvati,Modi,parvati@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Vitezslav,Rehak,vitezslav@tailspintoys.com,(215) 555-0100,2016-05-31,99999.00
Parsa,Van Vossen,parsa@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Bharat,Sikdar,bharat@tailspintoys.com,(229) 555-0100,2013-01-01,99999.00
Alain,Aupry,alain@tailspintoys.com,(229) 555-0100,2013-01-01,99999.00
Juan,Bezanson,juan@tailspintoys.com,(206) 555-0100,2016-05-31,99999.00
Ruby,Charlton,ruby@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Aile,Mae,aile@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Margherita,Lucchesi,margherita@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Pratap,Varghese,pratap@tailspintoys.com,(276) 555-0100,2016-05-31,99999.00
Marcel,Marquis,marcel@tailspintoys.com,(276) 555-0100,2016-05-31,99999.00
Margita,Kopecka,margita@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Mirjam,Johansson,mirjam@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Lekha,Mitra,lekha@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Seeta,Bose,seeta@tailspintoys.com,(304) 555-0100,2013-01-01,99999.00
Abhoy,Prabhupāda,abhoy@tailspintoys.com,(423) 555-0100,2016-05-31,99999.00
Seok-Ho,Jeon,seok-ho@tailspintoys.com,(423) 555-0100,2013-01-01,99999.00
Alida,Caune,alida@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Indiana,Fritzsche,indiana@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Agnes,Szolosy,agnes@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Yu-jin,Jee,yu-jin@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Rohana,Kaskar,rohana@tailspintoys.com,(207) 555-0100,2013-01-01,99999.00
Grieta,Kalnina,grieta@tailspintoys.com,(207) 555-0100,2013-01-01,99999.00
Hanuman,Dubey,hanuman@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Paola,Loggia,paola@tailspintoys.com,(210) 555-0100,2016-05-31,99999.00
Bao,Dao,bao@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Viljo,Lampsa,viljo@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Preyakshna,Aluri,preyakshna@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Chandan,Raut,chandan@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Valentina,Conti,valentina@tailspintoys.com,(225) 555-0100,2013-01-01,99999.00
Narayan,Mukherjee,narayan@tailspintoys.com,(225) 555-0100,2013-01-01,99999.00
Theodore,Saucier,theodore@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Chaowalit,Pornpipatpong,chaowalit@tailspintoys.com,(209) 555-0100,2016-05-31,99999.00
Mariana,Fierro,mariana@tailspintoys.com,(217) 555-0100,2013-01-01,99999.00
Ivana,Kozakova,ivana@tailspintoys.com,(217) 555-0100,2013-01-01,99999.00
Afshin,Djalili,afshin@tailspintoys.com,(231) 555-0100,2013-01-01,99999.00
Vaclav,Holy,vaclav@tailspintoys.com,(231) 555-0100,2013-01-01,99999.00
Bianh,Phan,bianh@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Kanti,Pipalia,kanti@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Koknesis,Vitols,koknesis@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Malle,Sepp,malle@tailspintoys.com,(218) 555-0100,2013-01-01,99999.00
Roxane,Rastgu,roxane@tailspintoys.com,(787) 555-0100,2013-01-01,99999.00
Hue,Chu,hue@tailspintoys.com,(787) 555-0100,2013-01-01,99999.00
Vlasta,Srbova,vlasta@tailspintoys.com,(203) 555-0100,2013-01-01,99999.00
Gadhar,Ghosh,gadhar@tailspintoys.com,(203) 555-0100,2013-01-01,99999.00
Lata,Babu,lata@tailspintoys.com,(405) 555-0100,2013-01-01,99999.00
Chandra,De,chandra@tailspintoys.com,(405) 555-0100,2013-01-01,99999.00
Airi,Vassiljev,airi@tailspintoys.com,(229) 555-0100,2016-05-31,99999.00
Hoang,La,hoang@tailspintoys.com,(229) 555-0100,2013-01-01,99999.00
Duleep,Walia,duleep@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Satish,Gill,satish@tailspintoys.com,(206) 555-0100,2013-01-01,99999.00
Matyas,Macek,matyas@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Ethan,Hopkins,ethan@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Bharat,Ankitham,bharat@tailspintoys.com,(252) 555-0100,2016-05-31,99999.00
Be,Phan,be@tailspintoys.com,(252) 555-0100,2013-01-01,99999.00
Vera,Kubatova,vera@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Diego,Almeida,diego@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Rakesh,Nishad,rakesh@tailspintoys.com,(505) 555-0100,2013-01-01,99999.00
Huu,Hoa,huu@tailspintoys.com,(505) 555-0100,2016-05-31,99999.00
Sang,Tran,sang@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Bela,Nemeth,bela@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Eekalabya,Bose,eekalabya@tailspintoys.com,(787) 555-0100,2013-01-01,99999.00
Margherita,Bucco,margherita@tailspintoys.com,(787) 555-0100,2013-01-01,99999.00
Tommy,Kilpi,tommy@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Giri,Bhamidipati,giri@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Andrea,Ricci,andrea@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Chung-Ho,Han,chung-ho@tailspintoys.com,(216) 555-0100,2013-01-01,99999.00
Isabell, Duperre,isabell @tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Jasna,Vujica,jasna@tailspintoys.com,(212) 555-0100,2013-01-01,99999.00
Amarendra,Ankitham,amarendra@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Isak,Berggren,isak@tailspintoys.com,(339) 555-0100,2013-01-01,99999.00
Aakarsha,Nookala,aakarsha@tailspintoys.com,(201) 555-0100,2016-05-31,99999.00
Ilgonis,Rozitis,ilgonis@tailspintoys.com,(201) 555-0100,2013-01-01,99999.00
Stanislav,Sedlar,stanislav@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
Telma,Arvidsson,telma@tailspintoys.com,(701) 555-0100,2013-01-01,99999.00
GokCe,Karaca,gokce@tailspintoys.com,(603) 555-0100,2013-01-01,99999.00
Maria,Munteanu,maria@tailspintoys.com,(603) 555-0100,2013-01-01,99999.00
Coralie,Emond,coralie@tailspintoys.com,(803) 555-0100,2013-01-01,99999.00
Cong,Trung,cong@tailspintoys.com,(803) 555-0100,2013-01-01,99999.00
Karina,Celmina,karina@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Nik,Stoimenova,nik@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Teresa,Pisani,teresa@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Murugan,Thakur,murugan@tailspintoys.com,(303) 555-0100,2013-01-01,99999.00
Alba,Ponce,alba@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Antra,Dzene,antra@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Piper,Leigh,piper@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Jautrite,Krievina,jautrite@tailspintoys.com,(210) 555-0100,2013-01-01,99999.00
Karie,Seymour,karie@tailspintoys.com,(802) 555-0100,2013-01-01,99999.00
Lorenzo,Lee,lorenzo@tailspintoys.com,(802) 555-0100,2016-05-31,99999.00
Timea,Peto,timea@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Amanat,Shaker Doust,amanat@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Victoria,Ene,victoria@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Panit,Meesang,panit@tailspintoys.com,(205) 555-0100,2013-01-01,99999.00
Bhavani,Bhowmick,bhavani@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Ivica,Debeljak,ivica@tailspintoys.com,(215) 555-0100,2013-01-01,99999.00
Yasmine,Berggren,yasmine@tailspintoys.com,(505) 555-0100,2013-01-01,99999.00
Anima,Bagchi,anima@tailspintoys.com,(505) 555-0100,2013-01-01,99999.00
Tea,Koppel,tea@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Bozena,Palatova,bozena@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Naseem,Radan,naseem@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Geza,Olteanu,geza@tailspintoys.com,(316) 555-0100,2013-01-01,99999.00
Laboni,Deb,laboni@tailspintoys.com,(207) 555-0100,2016-05-31,99999.00
Antonin,Klaus,antonin@tailspintoys.com,(207) 555-0100,2013-01-01,99999.00
Sung-Hwan,Hwang,sung-hwan@tailspintoys.com,(228) 555-0100,2013-01-01,99999.00
Reigo,Rebane,reigo@tailspintoys.com,(228) 555-0100,2013-01-01,99999.00
Shiva,Pipalia,shiva@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Aishwarya,Beniwal,aishwarya@tailspintoys.com,(480) 555-0100,2013-01-01,99999.00
Karie,Mercier,karie@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Milada,Buresova,milada@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Bhanu,Thota,bhanu@tailspintoys.com,(314) 555-0100,2016-05-31,99999.00
Cyrus,Poursokh,cyrus@tailspintoys.com,(314) 555-0100,2013-01-01,99999.00
Ae-Cha,Joo,ae-cha@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Jawid,Pourali,jawid@tailspintoys.com,(209) 555-0100,2013-01-01,99999.00
Dinara,Saparkyzy,dinara@tailspintoys.com,(219) 555-0100,2013-01-01,99999.00
Karel,Sedlar,karel@tailspintoys.com,(219) 555-0100,2013-01-01,99999.00
Adam,Dvorak,adam@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Dhanishta,Vankayala,dhanishta@tailspintoys.com,(239) 555-0100,2013-01-01,99999.00
Ingrida,Celmina,ingrida@tailspintoys.com,(316) 555-0100,2016-05-31,99999.00
Be,Dang,be@tailspintoys.com,(316) 555-0100,2016-05-31,99999.00
Jae-Hwa,Jang,jae-hwa@tailspintoys.com,(505) 555-0100,2013-01-01,99999.00
Clara,Cunha,clara@tailspintoys.com,(505) 555-0100,2013-01-01,99999.00
Duck-Hwan,Bae,duck-hwan@tailspintoys.com,(803) 555-0100,2013-01-01,99999.00
